index,precursor_mz,adduct,MS2,2h_N1,2h_N2,4h_N3,4h_N4,8h_N5,0h_N5,2h_N1.1,2h_N2.1,4h_N3.1,4h_N4.1,8h_N5.1,0h_N5.1,0h_N6,0h_N6.1
ft-00001,244.22734,[M+H]+,"[[180.17505, 48], [244.22696, 204]]",25266.38031,23768.94513,24736.41032,19898.2531,14148.69671,166484.0405,12357.26579,16316.18611,6214.104113,3785.362864,2857.770744,201089.7666,,
ft-00002,272.25897,[M+H]+,"[[272.25992, 204]]",45130.24495,38465.90239,47350.67604,30010.38944,64282.81014,240768.2856,21180.82669,23448.44764,10569.37046,5587.564256,14535.44946,280084.1101,,
ft-00003,482.32434,[M+H]+,"[[184.07365, 238], [464.31592, 46], [482.3262, 138]]",75854.16148,47599.22563,86360.24538,93656.33283,55908.89554,52399.9979,44484.51054,37781.41878,52380.71945,48893.72982,19641.62307,31867.8808,,
ft-00004,516.42749,[M+NH4]+,"[[327.25534, 66], [355.28601, 98]]",15305.85714,14398.49009,24762.90181,22892.85708,11872.881,23461.1588,7987.816578,10067.94261,11396.77817,9547.661935,2879.935803,8703.508535,,
ft-00005,530.44305,[M+NH4]+,"[[369.30273, 48]]",420.9603438,503.3167031,558.0873929,806.1088958,609.240025,1395.155325,243.0371531,221.4564997,129.7667204,429.5968424,195.3769609,553.3707001,,
ft-00006,550.55634,[M+H-H2O]+,"[[210.2234, 48], [237.22243, 134], [550.63263, 144], [551.62988, 62]]",94650.61826,83202.99794,137293.3772,98227.82265,81166.52461,129791.9859,35765.58381,37847.21036,46383.72727,29871.30799,18541.20371,50096.4261,,
ft-00007,571.43091,[M+Na]+,"[[571.43451, 80]]",439701.8585,230113.5139,404210.431,155083.8821,173109.6879,305800.7424,409255.9654,155170.8199,197363.048,58368.58816,43959.73437,127890.5063,,
ft-00008,572.49072,[M+NH4]+,"[[397.33093, 64]]",1139.164448,800.991,1145.252286,765.0863958,948.0867125,13478.67783,433.0545412,417.821308,493.3914236,379.6296321,449.3132743,14174.77508,,
ft-00009,586.50391,[M+NH4]+,"[[397.33078, 54], [425.35999, 88]]",458.3849375,481.2171875,782.1777857,494.5390833,600.8386,1519.469925,194.9173723,235.0374796,331.8971687,123.111253,287.189952,1036.25498,,
ft-00010,610.57806,[M+H-H2O]+,"[[610.57886, 96]]",41587.47441,36538.83925,34884.08106,25440.29269,59822.5392,36227.42615,38092.78413,29262.56431,19357.6853,10076.11044,40222.42844,12920.33552,,
ft-00011,614.5733,[M+NH4]+,"[[341.30518, 80], [579.53473, 404]]",96283.43222,96697.96225,75151.02235,88584.00244,96064.7905,77134.32608,40782.2262,29746.83101,5591.192522,21987.33088,24517.76064,7080.083979,,
ft-00012,636.49689,[M+H]+,"[[184.07378, 222], [618.48547, 44], [636.49579, 268]]",124147.8423,89394.09845,124083.146,98576.32304,110344.4746,120586.8829,63159.43673,60439.13046,30079.23005,27585.64165,29245.3093,48993.32924,,
ft-00013,636.59375,[M+H-H2O]+,"[[636.59485, 296]]",27516.99964,10502.13353,9265.055241,10426.03117,74693.36439,9176.57625,36371.86598,8788.838712,5262.927043,6444.891655,68411.73315,5411.880604,,
ft-00014,638.60925,[M+H-H2O]+,"[[283.26624, 86], [356.35303, 82], [544.52252, 66], [638.6109, 220]]",79234.8135,74279.46372,68952.17745,47866.9335,99767.60668,71688.8508,70416.15977,61192.47343,40608.95864,17593.0084,63100.3995,27385.02519,,
ft-00015,642.60358,[M+NH4]+,"[[341.3074, 142], [607.5675, 454]]",545806.6766,535458.7166,574998.7056,557425.202,564831.232,543773.2205,65452.43083,46817.33169,48360.76155,37275.07483,69105.24632,75515.39697,,
ft-00016,647.4599,[M+Na]+,"[[291.11478, 42], [347.17966, 78], [403.24454, 70], [441.2926, 2982], [442.2959, 526], [479.27164, 140], [516.58337, 52], [535.33368, 226], [591.39691, 1284], [591.42908, 44], [592.40332, 224], [647.10028, 50], [647.29523, 52], [647.45953, 73010], [647.51605, 42], [647.5498, 48], [647.5957, 60], [647.66101, 64], [647.69324, 70], [647.94476, 54], [648.0697, 120], [648.46295, 9408], [649.46558, 188]]",50343193.45,39722122.71,51085389.77,47398478.36,46378776.57,35970900.88,19483623.65,19846670.32,7920712.316,6701298.378,7270541.759,18690679.38,,
ft-00017,664.62476,[M+H-H2O]+,"[[664.62231, 156]]",24491.94853,11435.13592,10358.17139,11987.83225,62530.71373,9402.826263,30807.36582,9601.291424,5385.127974,5549.435896,55555.9331,5836.124386,,
ft-00018,666.64105,[M+H-H2O]+,"[[666.6413, 128]]",56238.41719,60821.07792,56630.76499,35737.00633,65366.72158,52841.54765,43274.47228,47113.3333,30101.06862,11825.15231,32944.73992,20800.55067,,
ft-00019,740.67828,[M+NH4]+,"[[467.40839, 48], [468.4158, 48], [495.43973, 144], [523.47083, 64]]",35550.59446,33060.69448,44342.03574,34065.93063,38845.06915,55082.74103,10300.97214,12266.64894,11388.62686,10097.94096,5105.136913,15451.33445,,
ft-00020,758.57153,[M+H]+,"[[184.07414, 332], [758.57361, 224]]",4494.441,4094.603453,10130.41188,17249.64858,89552.99399,4230.676225,1926.655253,2366.836954,8902.533538,2970.791526,26265.02866,1737.789374,,
ft-00021,760.5882,[M+H]+,"[[184.07224, 134], [760.59241, 104]]",20945.38489,13504.74939,29186.04046,29134.86383,66835.25011,20058.65404,12927.49315,9156.571217,15057.07783,3455.532557,18884.66917,10065.17285,,
ft-00022,764.67773,[M+NH4]+,"[[313.27429, 54], [493.42172, 42], [519.44159, 64], [521.45856, 72]]",29013.8147,26666.99919,44884.58004,32691.06613,28304.69759,44239.15701,9623.569487,12401.62784,17403.24123,9148.0877,7449.657448,15868.90688,,
ft-00023,766.46381,[M+Na]+,"[[467.37466, 48], [511.2468, 198], [567.30231, 158], [623.36597, 78], [630.8891, 52], [647.46045, 70], [654.09851, 42], [679.4303, 128], [766.46362, 184], [767.4682, 50]]",62821.8364,46289.16844,88088.42607,147993.4575,83401.9138,72009.81293,42658.36913,34356.22046,41241.11056,81487.86965,38030.36809,39322.58269,,
ft-00024,766.53082,[M+Na]+,"[[766.53845, 84]]",290220.2246,281204.6143,605918.7051,157002.3023,131619.773,392859.0083,254823.4209,189285.0326,380747.1309,158010.3258,42647.90431,167699.803,,
ft-00025,766.69177,[M+NH4]+,"[[495.44482, 68], [521.45776, 42]]",69749.60401,66812.25728,103187.0203,78188.34715,68394.5629,102148.28,24390.32881,25946.82452,36109.94726,20880.31972,16197.25848,33612.37903,,
ft-00026,768.70807,[M+NH4]+,"[[495.4404, 184], [523.47241, 122]]",100561.2466,89149.97731,123490.8898,96079.66642,102080.7076,142104.6728,24753.62381,26300.11729,32474.45154,19355.53809,20656.03975,38963.52452,,
ft-00027,778.69183,[M+NH4]+,"[[521.45404, 46], [547.47015, 74]]",34233.99236,27721.65631,53673.28472,32123.91469,27046.09969,44835.99653,13015.20848,15912.91459,26134.14352,2024.811911,4645.186254,17076.84642,,
ft-00028,780.70679,[M+NH4]+,"[[509.45718, 148], [521.45935, 52], [535.47174, 54]]",67675.0737,65890.23803,92032.56822,69167.51892,67947.73681,80988.70295,18793.36062,24779.63122,26997.3757,1431.93263,23187.21938,29578.5971,,
ft-00029,782.57086,[M+H]+,"[[782.57544, 64]]",1204.940667,690.1088125,2595.827911,5909.174583,30926.2007,453.000375,798.1909557,469.6627627,3262.452426,2055.749139,8533.00645,230.4759518,,
ft-00030,782.57135,[M+H]+,"[[184.07365, 112], [782.57343, 88]]",2044.97075,1757.852281,4853.008491,6755.428625,49608.54123,1732.749238,768.8115307,1273.911343,3566.536694,1871.349136,18617.85582,890.0012551,,
ft-00031,782.72491,[M+NH4]+,"[[509.45825, 84], [523.47229, 68], [537.48724, 62]]",86022.41659,101351.8847,110699.3124,93675.01921,101487.2676,109521.4114,23916.13713,32850.10195,34090.18751,42588.7408,27803.55551,27076.65118,,
ft-00032,784.57782,[M+Na]+,"[[784.57678, 142]]",13915.24493,9926.296563,26845.9609,10517.3884,9841.87405,15877.17386,6622.749502,6666.597962,23246.61436,1204.228146,3272.069695,6187.789846,,
ft-00033,784.58698,[M+H]+,"[[184.07291, 194], [504.34543, 46], [784.58606, 178]]",2206.101385,2510.943688,10191.90707,22453.1061,95339.24774,1620.595675,1015.351361,935.6793511,11662.12438,6501.11325,27149.38526,720.5780995,,
ft-00034,786.60114,[M+H]+,"[[184.07295, 296], [185.08598, 56], [504.34732, 42], [777.74408, 46], [786.60016, 178]]",82807.81031,45319.62514,94847.04829,47423.68817,107066.0609,75161.76911,61722.04068,41566.12847,46638.31178,18370.72531,57150.77559,47135.32506,,
ft-00035,786.60321,[M+H]+,"[[184.07419, 140], [786.604, 66]]",9842.888281,10919.24609,15604.30351,32326.68415,108571.9234,9697.968975,4345.681149,2116.437273,13711.92577,9259.825122,31824.70525,2859.922376,,
ft-00036,788.617,[M+H]+,"[[184.07309, 162], [788.62292, 134], [789.62183, 42]]",5609.76051,4911.649203,10101.90824,21599.00404,53589.66155,5369.971625,2352.641858,1201.330645,7404.430979,7043.326451,13393.85952,1826.695294,,
ft-00037,792.70685,[M+NH4]+,"[[519.44354, 136], [521.4577, 304], [549.48547, 64]]",118563.1091,110933.6954,182949.5212,133526.7915,117636.2169,173192.9298,39741.96044,46052.73716,65936.02888,38811.79565,30032.07724,60608.44218,,
ft-00038,794.72198,[M+NH4]+,"[[521.4585, 300], [523.47266, 304], [524.47601, 66], [535.47485, 68], [549.4892, 284]]",229722.5353,210009.1958,337463.2929,249075.8998,211234.5439,324504.5489,74971.08857,88841.18611,122930.6617,70618.83143,55772.86489,108008.4684,,
